USERINFO_DATA
birthdate;nickname;pwd
coheagertie4l;wbduvY;15-Jul-1998
nchatenet4m;MohuzxJ;07-Aug-1998
akerner4n;HGK8NKVfr;28-Jul-1999
phatchette4o;AnpqYNub3Rxh;03-Feb-1997
dandrick4p;9K0zdCutQRkW;20-Jun-2000
sspieght4q;D5VwNIy;18-Feb-1997
gsandbatch4r;aCh2t4Cwq;28-May-2000
ebortolini4s;ys7ZsfzcC;18-May-2000
ecausby4t;hqTKziRxc;11-Jul-2000
dwederell4u;gzldc1A;24-May-2000
astclair4v;FCqtoCdahN3;10-Feb-1999
nondrousek4w;NwhFQP;24-Oct-1998
hdyet4x;jouzC3Rvi7P;08-Jul-1997
cwhitaker4y;cSnLBex;10-Jun-2000
tstubley4z;yp41csih7j;19-Dec-1998
tmatussov50;YhlvyB;28-Feb-1998
pkerner51;7tjktxV;29-Jan-2000
ltinwell52;YQ1ADojKUj;02-Sep-1997
hyakushkin53;U6xA5v4D2;06-Jun-1999
pjirsa54;wOR069;24-Nov-1997
mtomek55;1O7ueQz57a4;17-Sep-1998
ndallison56;SGPT3YSIYBZ;19-Dec-1998
mhappert57;HyJiyFlcs;20-Apr-1997
kfowgies58;6y7rY4hz;02-Nov-1999
parangy59;j738ZPi;26-Feb-1997
jguinery5a;OoVapHJ7th8j;12-Oct-1999
ahurrion5b;yPHJ76Elbm6;25-Aug-2000
tstrivens5c;HD4Ei1;05-Aug-1997
wrouf5d;siYeno;07-Jan-2000
nmack5e;ybqXJf;15-Mar-2000
lbotright5f;F1J0t7TJgHS6;15-Jun-2000
noxenford5g;JOtf8sXqf;23-Feb-1999
jevershed5h;IdoIis0;30-Jun-1997
rolunney5i;aqec653N;03-Aug-1997
bwestrope5j;XwHjZCoZm;26-Aug-2000
apilmer5k;1BEUuu6HVEH;15-Oct-1998
clogie5l;MrfrZy;02-Oct-1997
rzapata5m;ycxe5OWg9;25-Mar-1998
eoppery5n;WDLaVtJbDpk2;31-Mar-1999
ggotling5o;yyPQtARUkC;12-Nov-1997
jwheelwright5p;VTRSuv0O;06-Feb-1998
jlafuente5q;y8jKP56kQ;10-Jan-1998
tperle5r;tKu40dChmD;13-Sep-2000
xgiacomelli5s;rR3kwE5Tq1U;25-Apr-1997
cgutsell5t;QVkyTLw;14-Dec-1998
cphillpotts5u;sbjgiwnq;05-Sep-1999
nodoohaine5v;NMVYQMIlUzNr;30-Jan-1998
acumpton5w;1UaLH3Sp7Ee;24-Nov-1999
dhold5x;eOgIYC;16-Feb-1997
wmaase5y;D0HmvIrE3;05-May-1998
whaucke5z;Ax7aPaR;20-Jan-1997
sklimmek60;dkuGK3QoUc8N;22-Aug-2000
seland61;ZVvFfp;06-Oct-2000
oarlet62;jNAZhhAR;04-Nov-2000
kschonfelder63;xLVMNSrK;27-Feb-1997
acollard64;Gp59roWzP4p;16-Sep-1997
mscutching65;pHaoXUE;26-Apr-1998
ifaires66;DaFHsr0ae9M;02-Jun-1999
mtuplin67;HfB62WyzZZF;30-Jul-1999
ggeraldini68;eXAbFg;30-Jun-1997
lpacher69;zvjySk;09-Mar-1997
karnholz6a;iI2QpXx3C;25-Jul-1997
gsaint6b;EL5N3foK;30-Apr-2000
cattryde6c;3LIgx0hYsL;15-Nov-1997
mlacroix6d;HsoNnR64yd;05-Aug-2000
mdabourne6e;kAusxmXt95Nx;22-Jul-1998
hcarletti6f;P1ePINW;24-Feb-1999
hwidmoor6g;5d1bFw6z;03-Jan-1998
sburnhard6h;6O8w6ycTcW;04-Dec-1997
kandriulis6i;lBOcIQoXSce;01-Jul-1997
gmerigeau6j;7iWeuD5;21-May-1998
tisenor6k;meF3ODoQAY9;22-May-1997
kknoton6l;laffoG3Hv7r5;11-Jun-1997
lkirkby6m;gYR8yk;12-Jun-1997
ghamley6n;qcKW1RJy;24-Aug-1999
aschiementz6o;ICj3QGKUvppN;06-Jan-2001
dmorcomb6p;GnhOOusj;04-Sep-2000
cdenington6q;Xhv9IN1S9T;10-Mar-1999
dbuckmaster6r;SkScYoK;29-Nov-1999
ibruinsma6s;ZCWZbHJw;01-Oct-2000
jmuncaster6t;eAvOVnhzr;24-Nov-1998
clangsbury6u;aNhX3TzHQ;21-Feb-1998
ewhife6v;5dvT0p;12-Nov-1999
cnorcliff6w;XNeOQv9VHMIy;25-Jul-1999
dbartosinski6x;mHUNnHPKtog;09-Feb-1997
cgreatbach6y;4AB1a4;16-Aug-1997
sbeavis6z;QQx8k0wao;18-Aug-1999
wlailey70;ZDfFyzos1d;11-May-1999
lhamby71;t4agz7J;27-Feb-1998
nahearne72;WCNU7UZi;11-Dec-1999
nmacairt73;LcDiwJxJp;22-Jul-2000
tmonelle74;Bclhu24o;28-Dec-1997
hclemenza75;CZLBEVTxirb;23-Jul-1997
rburnel76;IlzdvF;26-Feb-1999
ealcido77;IlbcDX54;08-Jul-1997
aasipenko78;MOzcjTFWoP;20-Oct-1997
acassels79;TF1MGi;23-May-1997
pyoxall7a;6wZRisAvI;31-Mar-1999
ngagg7b;B3eECUsdUc;07-Nov-2000
cspreadbury7c;m6qxpG;21-Mar-1999
rclewes7d;5agQbHk;11-Apr-1999
tberzen7e;3a7QntEYeljk;18-Aug-2000
pdarmody7f;0WsrR7PBqJ;17-Sep-1999
jhaberjam7g;tfhOOXFyEj;25-Mar-1999
lizen7h;spHsTVw;08-Dec-2000
ncromie7i;6oRajowWGnP0;01-Dec-1999
mhamor7j;RAsNLlKAzk;16-Nov-1998
dbigmore7k;eWcRI1izyT7;05-Nov-1998
cmaudett7l;4qgpemYwwfB;28-Apr-2000
mfawke7m;rTAP6HTBgF;29-Dec-1999
sfurzey7n;4tnQeBNp;30-Dec-1998
umecchi7o;I81mIsg0;17-Jan-1998
sheliet7p;Bu9R1pIG;27-Oct-1999
hdrees7q;xaJEriYvnH;04-Nov-1999
tsneden7r;9wKr4A38oLWL;22-May-1997
ncaffery7s;3GOiIAF3G;25-Jun-1998
bwhebell7t;ltBhMzbhrk;24-Jan-1997
cingolotti7u;TgaG4UjXs0;13-Jul-1999
bgrieswood7v;Qzy1Uelk;11-Jul-1997
tackred7w;MiMU9t0zc3R2;01-Mar-1998
dchampion7x;X8OCqu;16-Oct-2000
awilliamson7y;seEsapzzfJv;14-Jan-1997
cife7z;khO1nH0KM;17-Jan-2000
ghuntley80;MluWmsQyR;31-Jan-1997
cscoggin81;CyLXdKl;27-Oct-2000
hrumble82;KnAtbOT3S;13-Nov-1999
rsutherel83;M2HKwgf6fTw;24-Dec-1997
hauten84;mHKlDb96nctH;02-May-1997
dmebs85;EllcWh0P4VP;04-Dec-1999
adayley86;ds5K4rb;29-Jul-2000
tpatullo87;u1feaeerdNW;17-Jan-2000
epharoah88;LFmFp7ai9La7;05-May-1999
iwales89;4AYe5ZA;09-Jan-2000
tsmorfit8a;zPXk93D;05-Aug-1998
btabourin8b;p8JvRW58PYsO;31-Oct-1997
dspring8c;7teMGxS4cAD;24-May-1997
epenella8d;xRGbzSn;22-Mar-1997
tchristofe8e;XqnT68Wkfi;13-Sep-1997
cspohr8f;ZwU7ZI5WqWd;10-Feb-1997
atrendle8g;M8jFZm9;06-Mar-1999
cmeasures8h;GJfVW6;14-Jan-2000
bsaenz8i;7TdZWgcE;29-Dec-1999
okershaw8j;m2YqyHe;17-Sep-1999
nrayworth8k;AH8JllrMk;11-May-1998
hdeaville8l;yf4knlbS;06-Jan-1999
heaton8m;ZB1NS3rv5l;10-Jun-1999
dbartozzi8n;7NQnbbam43;14-Dec-2000
mmungane8o;rVJUdG;13-Sep-1998
clorie8p;FLUbhiPzw;10-Jun-1999
bskeemor8q;nsLJGJ68K7a;22-Mar-1997
kbrader8r;m96BWstkg;09-Mar-1999
nmanklow8s;l49wNnX8hJK;09-Oct-1999
cmckilroe8t;QVpCGH;28-Mar-2000
ckinny8u;eYLdMQEDx;07-Dec-1997
kscully8v;Sj39PK;11-Jan-1999
aurian8w;1fYQd8BU;16-Sep-1999
bbointon8x;OW7bf0;14-Jul-1998
rdonnan8y;5HZpxPFk;05-Nov-1999
sclendinning8z;pcQ4sgK;15-Aug-1997
mgalsworthy90;iAjioD;11-Mar-1997
bkanwell91;UHJE0XaG;10-Nov-2000
dcure92;zyJzSgJIPiUm;29-Jun-1999
nbruford93;ZuzMavI;19-Nov-2000
gscriver94;Awd8PnQkx3;11-Feb-1999
nriha95;gcF0n3c;16-Jul-1998
tmolden96;Hsvyh9job;17-Mar-2000
ghousley97;ToOsQi11;16-Jul-1999
jshirlaw98;3rmGGCLqW1uR;04-Nov-2000
kfenning99;gJh7AWXnqMV;07-Jan-1999
transbury9a;3y7AmiiY;08-Jun-1998
rearpe9b;b2P6KY17r;05-Oct-1997
wambrosi9c;wH5IxLPHwr;15-Aug-1999
jrannigan9d;KxBClqTJGmw6;06-Dec-2000
kspillman9e;UuEagsdGe;18-Nov-1997
cskewes9f;kFGPM9s57Fi;19-Jan-2000
jviegas9g;aj9ji62f;17-Oct-1998
jantonias9h;k4fH45;29-Oct-1999
acaret9i;hiIMBFdlCa;27-Oct-1997
amatfin9j;USu3Qhvft;17-Sep-1998
kcolbeck9k;81WoR3cVCPLA;22-Dec-2000
schamney9l;nAW2FbQSS;08-Jan-2000
bgotliffe9m;vG61z5;11-Jan-1999
cgillebert9n;DzfgNmA6tTH;20-Aug-2000
moret9o;blnUQG6M0cT;08-Nov-2000
cscoullar9p;oWmjxqrZicsB;21-May-1998
ebenit9q;fem6bUk;16-May-1998
aeighteen9r;zTSRyBrX;29-Jul-1998
gcuerda9s;g4P7pcD;30-Apr-1999
kcleiment9t;eovuvYsNt7;04-Sep-1997
fsibille9u;FF0vESe;14-Jul-1997
narmall9v;vcpFnmpKuXHv;02-Apr-1999
bteideman9w;icv4IFgxju0;24-Aug-1997
syannikov9x;yJUaLr;13-Jul-2000
csiggin9y;OMoi2ijHRty;06-Jan-1999
lmucklestone9z;iCk3HK;01-Jul-2000
ipfertnera0;9pHUc7htl6;15-Jun-2000
jscinia1;YK8rCb4XYLn;07-Mar-1999
mbroscheka2;DQuwQiw;07-May-2000
esollama3;Bpybo0gmvr;07-Feb-2000
amadgwicka4;0epWd5Gyi1Q;14-Jun-1997
pbosketa5;OPM6MyX;07-Jun-2000
kpellamonutena6;EFH0YJU;16-Mar-1998
cstarsmearea7;NBV7rcctt8;03-Apr-1999
cjozaitisa8;f0G7SbEX;18-Dec-2000
mcullabinea9;H68DQg2sUE;14-Apr-1997
nkobaa;jGJJeT8;07-Mar-1998
awatsonbrownab;qw4d6P6pk9pi;15-Nov-1999
aohoolahanac;pWKSXta8JHSc;20-Jul-1997
dcrouchad;tuPXioKWy3n;03-Jul-2000
bbalsillieae;wExCKj;22-Oct-2000
ghaselupaf;gXffTHi;26-Sep-2000
hrikkardag;Fi2Ew4lOaE;13-May-1999
sjullah;oJY96GcToPbT;14-Jun-2000
proulstonai;XeFlDe3Md;21-May-1997
cseilmannaj;kqk9JwO;22-Jul-1999
bghirardiak;iEDfO5p3Q;24-Dec-2000
fkayseral;dujn73;20-Feb-1998
kmaccleodam;V95dCvIKhf;05-Jul-1998
bdurnanan;YdI37p;29-Oct-1998
edrainsao;BlL7pe;15-Jul-2000
rshayesap;Bp2Yxtmo;09-Dec-1997
hsouthwayaq;RwVnt2zG;08-Mar-1999
sbucknillar;iIRKpUuCt0uJ;05-Dec-1998
bearwakeras;R2GXJWZ7a;17-Jul-1998
kkellerat;pYkM1cl;17-Jun-1999
lbonallickau;AsY3IyCCUr;12-Feb-1999
pwaleav;n9y7z56oC;31-Dec-1997
krigdenaw;iDX0S7CNh;30-May-2000
gpigdonax;WAZJEOyD;14-May-2000
vleydenay;JpWVxXsBgiN;21-Jan-2000
apendletonaz;mxZTIOFgBy;17-Feb-1999
rredwinb0;nNT3JHXPGUD;12-Apr-2000
tpietrowskib1;izo2vMEP;13-Jun-1997
tjehanb2;UfA3ccL7DLMP;06-Mar-1999
bmckimb3;VlcEjd;13-May-2000
mcalverb4;vIIXiBFs;25-Jul-2000
nchaffinb5;T8iPTdmqC2XE;15-Apr-1999
cbastistinib6;kpuqvDOvcNgb;12-Feb-1998
nfurzerb7;cGkBTHw;01-Aug-1997
echateaub8;xTb88C4;24-Jun-1997
dgalliardb9;o1CvHXCYYF;31-May-1997
sdagwellba;8lgJfoH;14-Dec-1997
ckopjebb;hoFkuJgpEV;04-Apr-2000
dlecountbc;rshOieT;30-Nov-1999
karangybd;b9PP4QndF7A;28-Nov-1999
pfeatherstonhaughbe;49vYqgq1eBN;04-Aug-1999
fisardbf;iWN7xXqQt;15-Dec-2000
mcranmorbg;yeE2LEgekiK;05-Dec-1997
frojbh;hwAcC3V5;21-Oct-1999
awasselinbi;wV0Tr2DziUiK;19-Sep-1997
kdarnbrookbj;nyyVij;30-Jan-2000
asherwinbk;M9dhvzwUr;23-Sep-1998
ohuthartbl;TtZ3hbAHubOh;18-Oct-1997
ssheeringbm;U738k2;11-Sep-1998
ebaldrickbn;vX7Xj7LHBi6;27-Sep-1999
earnisonbo;rdQl2t0;26-Mar-2000
fcrombbp;0go4Lo0jk;26-Jun-1998
relvinbq;Bq2Ok3vvbN0E;03-Sep-1997
aduffittbr;7OPxjihCR;20-Sep-1999
rcorranbs;UB74gESZC8G8;27-May-1997
ssimesterbt;AlQuROVyrvh;04-Jun-1999
mmesnardbu;QVxQ24m01Ct;03-Jan-1999
owooffindenbv;SWRGaHSZJkOd;04-Jan-2000
vberrisfordbw;1tOda3;08-Mar-2000
mpateselbx;r5XfVg;25-Jan-1998
egiacuboby;uKPHnu;22-Apr-1997
cdabesbz;XSE8wWO;23-Aug-2000
ablaxallc0;jyyxtZC0Rg;07-May-1997
ktannerc1;L35pwBngErLP;14-Aug-2000
ltoutc2;xWhN0qhqgx;22-Mar-1998
fhartellc3;IVm02XiDR;15-Jan-1999
aandrolettic4;2Hcn4kayQlYZ;16-May-2000
gchatwoodc5;MI8du4yb3Id;05-Sep-1999
aneggrinic6;ZMeUWfyjZ;14-Apr-1999
aginleyc7;bG5MqxOqT;25-Nov-2000
nrisboroughc8;XcSbh2;02-May-1997
psearightc9;bpwN3o;21-Jul-1998
mcrammyca;zZb74G26oO;05-Aug-1997
nharnottcb;zkEDHqxC4;09-May-2000
rprendevillecc;VANWzOavgKP;14-Jan-2000
lgoscombcd;MRVeo4hVrW9;12-Oct-2000
rfoskewce;I9yLC16N;13-Sep-1997
ahardypiggincf;YbyWLI3l;19-Mar-1999
rpiercycg;qvaQqyG0hBnI;25-Jan-1998
ovolontech;ErcMq5Nc9I;11-Jul-2000
fskurrayci;bxwrmTG;27-Mar-1999
iduckercj;uym25tvrbL95;16-Feb-1999
lgiacobbock;UFVp9p2Q;29-Jun-1998
tkeelercl;5tLXUSK;25-May-1997
wstukecm;VZXjhe4LZt;19-Sep-2000
cshowtcn;wFw0z3n;12-Sep-1997
tpooleyco;fb4Cl0lb;13-Dec-1998
zmedleycp;iNPuUxGix;03-Nov-1999
jskermecq;0dAQGgip4j;03-Sep-1998
cbotwoodcr;DDavXxibj;07-Aug-1998
bwhilecs;Nxbm9B;10-Mar-1999
wphysicct;drtgwEr;05-May-2000
efrigoutcu;fATrUzjTyx;30-Jun-1998
efredacv;I5cmxtfxep;05-Nov-1998
csiviercw;RnAQg7;22-Sep-2000
cmawdsleycx;xEs9IjN5;26-Jan-1998
eweatherillcy;VkSVvI;22-Jun-1998
mnanncz;ySuTZSgSL;10-Sep-1997
bdecourcyd0;biYqyK50j;12-Apr-1998
twilbored1;m2SRTZ;22-Oct-2000
cclealld2;l2Jku6c4TK;28-Mar-2000
odudlistond3;5NidSUDQFb;18-Sep-1997
cdarmodyd4;zIEQH95CV;13-Mar-1998
syerlettd5;T4FGMWX;28-Oct-2000
aanlayd6;TDYXZNKTR21X;13-Jan-1998
sagglioned7;pedzNUbCy6o;15-Dec-2000
tbortoluttid8;BTMydpTa7Vb;08-May-1998
amccormackd9;4oVidG8LLbi;17-Aug-1999
ktheuffda;8YeNxdiB;21-Jul-2000
emiddlewickdb;dGQnlN;21-Jan-2000
cmassingerdc;PE0lz0TLGr;01-Feb-2000
klippettdd;ykMpZN;12-May-2000
rroofde;ADgNFLy;22-Nov-2000
vcroneydf;T0cBxt;12-Jun-1997
sspowarddg;1Nu6yBoba;26-May-2000
ekilfoyledh;bWWx3e;15-Nov-2000
fcorkedi;NOFg3E4LW19;22-Dec-1998
amckeaneydj;IuOW7leZW3R0;10-Mar-1997
pogglebiedk;O9rKF8x3jPW;02-Apr-1999
vkohringdl;pA7ETi;03-Apr-1998
ajenceydm;qsEmTJNMsRD;03-Apr-1998
gmcginneydn;N6Lys8p;15-Jan-1998
apurvessdo;1APnHf;11-Mar-1998
swringedp;MVoJdEZ;21-Apr-1997
acorkittdq;YkmOp5wKh;20-Mar-1998
tcarnduffdr;j23NVk;01-Oct-2000
rbriatds;Q2RqwLZBfJqG;18-Jul-2000
lkirschedt;cwLIzQA2qc0;08-Oct-1997
icolingdu;l8VQ1ts;15-Feb-1999
idaintreedv;PE3k71;02-Jul-1998
umacgillreichdw;I0Y8a4LDEOJU;08-Jul-1998
gjeffcoatdx;2mtwWc7;21-Nov-1998
lrivallanddy;5FgwZd3J;08-Oct-1999
malfdz;Nx3bBIHQS;18-Jan-1998
qathowee0;n99yuPR;27-Jun-1998
lgillmore1;sXsOSeL;29-Apr-2000
wkuhnhardte2;rsZnq3kuZnIW;29-Jan-1998
jduddelle3;8wf8fYCN6Yer;28-Dec-2000
slardeuxe4;c3gNuSZAHIX;27-Apr-1999
rkunese5;jDS4xU6oHYp3;25-Feb-1997
wlangthorne6;74Yidbv;31-Jul-1997
pmucke7;qvHeda;16-Nov-1998
peagere8;ih5TRgvr7VB;19-Feb-1998
lortelle9;nLZThdLJjZUV;12-Dec-1997
emacanultyea;cE4ZIIKl0;08-May-1997
jstirrupeb;IjUoHt;20-Feb-1998
gderdesec;lBPPCf0;13-May-1998
drollinsoned;76cLeHUN;15-Oct-1999
gmacconaghyee;eFuG4bU86b;27-Sep-2000
jmuscatef;0L5ZNC0nA;15-Nov-1999
ccassineg;aSnKslwmmET;13-Jun-1997
asnawdeneh;mGNDUEwq;16-Dec-2000
ltweedyei;SCg7dNk0i;13-Apr-1998
mnaulej;sp5OBMIoUmU;02-May-1998
mbraunthalek;LAYGDQdlqXFF;19-May-1999
dmongetel;Y0cGR0Qw;28-Nov-1998
lscurryem;npE6OX4h;26-Aug-1998
abroseniusen;dM1ez4y;20-Jan-1998
adelytheo;F5OGh7mg;16-Jun-2000
eperillioep;qeZRgF1yZoq;04-Sep-1999
ralwelleq;BVA8pJO7e5KD;02-Jan-2000
greicharzer;TvJBVdPV5nSj;18-Apr-1998
ftiffneyes;CNtH6pQm7ow;27-May-1998
rbehnet;JG2PwhroT;29-Nov-1997
ewaliszekeu;tXiUbWcbc;10-Sep-2000
sbristoweev;chyUWd4e4T;01-Mar-1998
ebifieldew;zmS2WpQpI;08-May-1998
lpickettex;tMaTheg;15-Jan-2000
chardestyey;1901xi;12-Aug-2000
dwillavizeez;OCcRdDk5PM3O;03-Jun-1997
npicoppf0;kKyE9noX;24-Oct-2000
mkunzef1;L8eXDbN9axS;04-Aug-1998
aparonif2;IaEUQRbg7;09-Jul-2000
apullf3;9XUWf0C1q;21-Jul-1998
akeighlyf4;iuMZQLlluH;03-Aug-1999
